Name,Score,Steps,Round,Gridsize,Win,Golds,Kills 

['anilope', 1440, 6, 1, 4, 1, 1, 0]
['anilope', 1420, 8, 2, 4, 1, 1, 0]
['anilope', 1440, 6, 3, 4, 1, 1, 0]
['anilope', 1900, 10, 4, 4, 1, 1, 1]
['anilope', 1890, 11, 5, 4, 1, 1, 1]
['anilope', 1410, 9, 6, 4, 1, 1, 0]
['anilope', 450, 5, 7, 4, 0, 0, 0]
['anilope', 1450, 5, 8, 4, 1, 1, 0]
['anilope', 440, 6, 9, 4, 0, 0, 0]
['anilope', 460, 4, 10, 4, 0, 0, 0]
['anilope', 1440, 6, 11, 4, 1, 1, 0]
['anilope', 440, 6, 12, 4, 0, 0, 0]
['anilope', 1440, 6, 13, 4, 1, 1, 0]
['anilope', 1430, 7, 14, 4, 1, 1, 0]
['anilope', 1430, 7, 15, 4, 1, 1, 0]
['anilope', 1450, 5, 16, 4, 1, 1, 0]
['anilope', 1870, 13, 17, 4, 1, 1, 1]
['anilope', 1400, 10, 18, 4, 1, 1, 0]
['anilope', 1420, 8, 19, 4, 1, 1, 0]
['anilope', 450, 5, 20, 4, 0, 0, 0]
['anilope', 450, 5, 21, 4, 0, 0, 0]
['anilope', 460, 4, 22, 4, 0, 0, 0]
['anilope', 1420, 8, 23, 4, 1, 1, 0]
['anilope', 360, 14, 24, 4, 0, 0, 0]
['anilope', 440, 6, 25, 4, 0, 0, 0]
['anilope', 460, 4, 26, 4, 0, 0, 0]
['anilope', 1390, 11, 27, 4, 1, 1, 0]
['anilope', 1420, 8, 28, 4, 1, 1, 0]
['anilope', 440, 6, 29, 4, 0, 0, 0]
['anilope', 450, 5, 30, 4, 0, 0, 0]
['anilope', 480, 2, 31, 4, 0, 0, 0]
['anilope', 470, 3, 32, 4, 0, 0, 0]
['anilope', 410, 9, 33, 4, 0, 0, 0]
['anilope', 1440, 6, 34, 4, 1, 1, 0]
['anilope', 1880, 12, 35, 4, 1, 1, 1]
['anilope', 1880, 12, 36, 4, 1, 1, 1]
['anilope', 920, 8, 37, 4, 0, 0, 1]
['anilope', 440, 6, 38, 4, 0, 0, 1]
['anilope', 420, 8, 39, 4, 0, 0, 1]
['anilope', 1450, 5, 40, 4, 1, 1, 1]
['anilope', 1440, 6, 41, 4, 1, 1, 0]
['anilope', 1410, 9, 42, 4, 1, 1, 0]
['anilope', 1940, 6, 43, 4, 1, 1, 1]
['anilope', 420, 8, 44, 4, 0, 0, 0]
['anilope', 480, 2, 45, 4, 0, 0, 0]
['anilope', 450, 5, 46, 4, 0, 0, 0]
['anilope', 1360, 14, 47, 4, 1, 1, 0]
['anilope', 390, 11, 48, 4, 0, 0, 0]
['anilope', 1370, 13, 49, 4, 1, 1, 0]
['anilope', 470, 3, 50, 4, 0, 0, 0]
['anilope', 1920, 8, 51, 4, 1, 1, 1]
['anilope', 460, 4, 52, 4, 0, 0, 0]
['penishole\r ', 470, 3, 1, 4, 0, 0, 0]
['penishole\r ', 1830, 17, 2, 4, 1, 1, 1]
['penishole\r ', 1440, 6, 3, 4, 1, 1, 0]
['penishole\r ', 1880, 12, 4, 4, 1, 1, 1]
['pidor ', 410, 9, 1, 8, 0, 0, 0]
['pidor ', 560, 44, 2, 8, 0, 1, 0]
['pidor ', 370, 13, 3, 8, 0, 1, 0]
['pidor ', 750, 25, 4, 8, 0, 2, 0]
['pidor ', 1390, 61, 5, 8, 1, 4, 0]
['pidor ', 870, 113, 1, 12, 0, 2, 1]
['pidor ', 690, 31, 2, 12, 0, 3, 1]
['pidor ', 280, 22, 3, 12, 0, 3, 1]
['pidor ', 680, 32, 4, 12, 0, 4, 1]
['pidor ', 900, 60, 5, 12, 0, 6, 1]
['pidor ', 3530, 147, 6, 12, 1, 10, 5]
